,Valor_Numerico,ID_Municipio,Nombre_Municipio,ID_Indicador,Nombre_Indicador,Hombres,Mujeres,Porcentaje de población con ingreso inferior a la línea de pobreza por ingresos,Porcentaje de población con ingreso inferior a la línea de pobreza extrema por ingresos,Porcentaje de personas de 15 años y más alfabetas,Grado promedio de escolaridad de la población de 15 y más años,Porcentaje de personas con rezago educativo,Promedio de alumnos inscritos por escuela de nivel preescolar,Promedio de alumnos inscritos por escuela de nivel primaria,Promedio de alumnos inscritos por escuela de nivel secundaria,Promedio de alumnos atendidos por grupo de nivel preescolar,Promedio de alumnos atendidos por grupo de nivel primaria,Promedio de alumnos atendidos por grupo de nivel secundaria,Promedio de alumnos atendidos por un maestro en el nivel preescolar,Promedio de alumnos atendidos por un maestro en el nivel primaria,Promedio de alumnos atendidos por un maestro en el nivel secundaria,Porcentaje de población en situación de pobreza,Porcentaje de población en situación de pobreza extrema,Porcentaje de población en situación de pobreza moderada,Porcentaje de población vulnerable por carencias sociales,Porcentaje de población vulnerable por ingresos,Porcentaje de población no pobre y no vulnerable,Porcentaje de población con carencia por acceso a los servicios de salud,Porcentaje de población con carencia por acceso a la seguridad social,Porcentaje de población con carencia por calidad y espacios de la vivienda,Porcentaje de población con carencia por acceso a los servicios básicos en la vivienda,Porcentaje de población con carencia por acceso a la alimentación,Porcentaje de población con al menos una carencia social,Porcentaje de población con tres o más carencias sociales
Población total,72894.0,1,ID_1,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,37755.0,1,ID_1,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,35139.0,1,ID_1,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,9170.0,2,ID_2,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,4584.0,2,ID_2,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,4586.0,2,ID_2,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,37955.0,3,ID_3,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,20119.0,3,ID_3,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,17836.0,3,ID_3,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,63743.0,4,ID_4,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,32820.0,4,ID_4,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,30923.0,4,ID_4,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,3070.0,5,ID_5,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,1624.0,5,ID_5,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,1446.0,5,ID_5,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,14542.0,6,ID_6,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,7690.0,6,ID_6,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,6852.0,6,ID_6,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,3162.0,7,ID_7,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,1605.0,7,ID_7,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,1557.0,7,ID_7,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,11439.0,8,ID_8,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,5890.0,8,ID_8,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,5549.0,8,ID_8,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,2207.0,9,ID_9,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,1154.0,9,ID_9,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,1053.0,9,ID_9,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,74768.0,10,ID_10,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,38577.0,10,ID_10,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,36191.0,10,ID_10,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,1885.0,11,ID_11,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,999.0,11,ID_11,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,886.0,11,ID_11,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,6591.0,12,ID_12,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,3491.0,12,ID_12,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,3100.0,12,ID_12,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,22629.0,13,ID_13,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,11740.0,13,ID_13,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,10889.0,13,ID_13,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,4812.0,14,ID_14,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,2542.0,14,ID_14,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,2270.0,14,ID_14,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,125876.0,15,ID_15,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,64397.0,15,ID_15,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,61479.0,15,ID_15,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,9021.0,16,ID_16,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,4513.0,16,ID_16,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,4508.0,16,ID_16,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,29742.0,17,ID_17,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,15463.0,17,ID_17,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,14279.0,17,ID_17,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,3859.0,18,ID_18,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,2018.0,18,ID_18,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,1841.0,18,ID_18,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,141793.0,19,ID_19,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,74931.0,19,ID_19,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,66862.0,19,ID_19,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,7704.0,20,ID_20,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,3944.0,20,ID_20,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,3760.0,20,ID_20,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,1512.0,21,ID_21,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,783.0,21,ID_21,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,729.0,21,ID_21,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,12857.0,22,ID_22,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,6832.0,22,ID_22,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,6025.0,22,ID_22,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,9051.0,23,ID_23,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,4630.0,23,ID_23,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población hombres,4421.0,23,ID_23,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población total,976.0,24,ID_24,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población mujeres,510.0,24,ID_24,1,Población total según sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
